index,instagram_user,instagram_user_follower,instagram_user_common_following
0,madalinatugui,alex_alexul,robert.frentz
1,madalinatugui,robert.palade,robert.frentz
2,madalinatugui,segalldan,robert.frentz
3,madalinatugui,turrrturica,mariebojoux
4,madalinatugui,iustinadumitru,mariebojoux
5,madalinatugui,iammorphines,lupuandrei07
6,madalinatugui,expertnetwork,ionutloghin29
7,madalinatugui,turrrturica,the.artopy
8,madalinatugui,nsllllllllb,faiarsilviu
9,madalinatugui,_cinniminis_,faiarsilviu
10,madalinatugui,milea.robert.1,mihai97andrei
11,madalinatugui,robert.frentz,johnnydepp
12,madalinatugui,robert.frentz,thegrandmaandthelesbian
13,madalinatugui,robert.frentz,cristianpresura
14,madalinatugui,teoirimia,mercur.retrograd
15,madalinatugui,borisanki,mercur.retrograd
16,madalinatugui,ralucaandreeacristea,mercur.retrograd
17,madalinatugui,andreiafulga,mercur.retrograd
18,madalinatugui,remus_capitanu,mercur.retrograd
19,madalinatugui,expertnetwork,georgelambru
20,madalinatugui,iammorphines,georgelambru
21,madalinatugui,iammorphines,dulapul_anastasiei2
22,madalinatugui,robert.frentz,ce_miau
23,madalinatugui,alex_alexul,teoirimia
24,madalinatugui,robert.frentz,bytexromania
25,madalinatugui,teoirimia,bytexromania
26,madalinatugui,segalldan,bytexromania
27,madalinatugui,iammorphines,codregeorgiana
28,madalinatugui,robert.frentz,bookster.ro
29,madalinatugui,mlscrew3,bookster.ro
30,madalinatugui,robert.frentz,gbuhnici
31,madalinatugui,robert.palade,gbuhnici
32,madalinatugui,danutmacovei,gbuhnici
33,madalinatugui,ionutloghin29,biaancadumbrava
34,madalinatugui,vlad.dobrincu,biaancadumbrava
35,madalinatugui,iammorphines,biaancadumbrava
36,madalinatugui,robert.frentz,vegantipster
37,madalinatugui,dragospopa05,octav.ciornei
38,madalinatugui,iammorphines,octav.ciornei
39,madalinatugui,turrrturica,roberttataru
40,madalinatugui,milea.robert.1,ceciliamariciuc
41,madalinatugui,paraschiv_ioana,ceramiceanu
42,madalinatugui,tudor_stoian,addplusiasi
43,madalinatugui,milea.robert.1,ciprianursulean
44,madalinatugui,irina.rvs,plantropicstore
45,madalinatugui,milea.robert.1,andraepaduraru
46,madalinatugui,ionutloghin29,vlad.dobrincu
47,madalinatugui,dragospopa05,vlad.dobrincu
48,madalinatugui,iammorphines,vlad.dobrincu
49,madalinatugui,paraschiv_ioana,dumitrita_razlog
50,madalinatugui,harmonycafeiasi,frodomotosanty
51,madalinatugui,robert.frentz,alex_alexul
52,madalinatugui,teoirimia,alex_alexul
53,madalinatugui,robert.palade,alex_alexul
54,madalinatugui,iammorphines,anabellaofficial
55,madalinatugui,paraschiv_ioana,costelica12
56,madalinatugui,ionutloghin29,expertnetwork
57,madalinatugui,cezar.bote,expertnetwork
58,madalinatugui,dragospopa05,expertnetwork
59,madalinatugui,expertnetwork,cezar.bote
60,madalinatugui,dragospopa05,cezar.bote
61,madalinatugui,iammorphines,cezar.bote
62,madalinatugui,cezar.bote,dianailisei
63,madalinatugui,dragospopa05,dianailisei
64,madalinatugui,cezar.bote,alex.agape
65,madalinatugui,dragospopa05,alex.agape
66,madalinatugui,iammorphines,alex.agape
67,madalinatugui,vlad.dobrincu,dragospopa05
68,madalinatugui,cezar.bote,dragospopa05
69,madalinatugui,iammorphines,dragospopa05
70,madalinatugui,vlad.dobrincu,iammorphines
71,madalinatugui,cezar.bote,iammorphines
72,madalinatugui,dragospopa05,iammorphines
